file_name,N,min,max,mean,std,skewness,kurtosis,Q1,median,Q3,IQR,hist_bin_1,hist_bin_2,hist_bin_3,hist_bin_4,hist_bin_5,hist_bin_6,hist_bin_7,hist_bin_8,hist_bin_9,hist_bin_10
vacancy_1_training.dump,14,2.472783984675161,2.855324998300001,2.6367301333715205,0.18930870616489093,0.28867513459481886,-1.9166666666666647,2.4727839846751616,2.472783984675162,2.8553249983,0.3825410136248384,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855
vacancy_2_training.dump,20,2.367510418469309,3.7091759769781016,3.127379000223801,0.5555993484669491,-0.3081672080480492,-1.4694401047787276,2.3675104185477034,3.1115182797248173,3.709175976889574,1.3416655583418704,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.4
vacancy_3_training.dump,26,2.4727839845796744,4.945567969290368,3.634544264768346,0.949127651078984,0.02925824723743113,-1.6725146189210152,2.8553249983346154,4.038039337627748,4.735020836964827,1.8796958386302114,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.3076923076923077
vacancy_4_training.dump,31,1.9668728027059779,5.2975687823519575,3.805449844254053,0.9212395305391113,-0.25610052090605545,-0.915028922542477,3.069911033843879,3.9042505533689638,4.608672416908816,1.5387613830649371,0.0967741935483871,0.0,0.12903225806451613,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.16129032258064516,0.06451612903225806,0.16129032258064516,0.0967741935483871
vacancy_5_training.dump,34,2.0032389865346487,5.380631022608388,3.913626156368857,0.832514304138063,-0.2690613041781936,-0.6083458088696752,3.297793924424889,3.9777057565652587,4.510108548318599,1.2123146238937101,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.08823529411764706,0.17647058823529413,0.20588235294117646,0.029411764705882353,0.14705882352941177,0.08823529411764706
vacancy_6_training.dump,36,1.8802742764045026,5.29094262797705,4.01114033836067,0.8026764544388181,-0.4348871244050254,-0.20348392377109192,3.5167767825009966,4.012812528477582,4.572897469847371,1.0561206873463744,0.027777777777777776,0.0,0.08333333333333333,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.1388888888888889,0.05555555555555555,0.19444444444444445
vacancy_7_training.dump,41,1.9208465476487104,5.925206353394242,4.230512928606442,0.9129793141523354,-0.36088378713536756,-0.34912615352961573,3.644749684202838,4.196332222732329,4.921482666750326,1.2767329825474882,0.024390243902439025,0.04878048780487805,0.04878048780487805,0.07317073170731707,0.1951219512195122,0.14634146341463414,0.0975609756097561,0.17073170731707318,0.14634146341463414,0.04878048780487805
vacancy_8_training.dump,43,1.758110230017462,5.83061386513951,4.294291766426414,0.8639025179978851,-0.42044204735911805,0.13228569158016645,3.631425573890705,4.425642908462229,4.912917694888674,1.281492120997969,0.023255813953488372,0.0,0.023255813953488372,0.11627906976744186,0.11627906976744186,0.16279069767441862,0.13953488372093023,0.18604651162790697,0.16279069767441862,0.06976744186046512
vacancy_9_training.dump,46,1.5530480137729024,6.181726234655963,4.414354325244867,0.8875781064855125,-0.5761571057606867,0.6124176858317139,3.7442344898923623,4.336627502515976,5.051648999603672,1.3074145097113097,0.021739130434782608,0.0,0.021739130434782608,0.043478260869565216,0.21739130434782608,0.17391304347826086,0.13043478260869565,0.2391304347826087,0.13043478260869565,0.021739130434782608
vacancy_10_training.dump,48,1.3473269372603198,6.2866814607876185,4.487102363819951,0.9004155685620598,-0.7044279848324854,1.3030640570006646,3.8478042697239028,4.600664605133148,5.075862228390832,1.2280579586669296,0.020833333333333332,0.0,0.0,0.020833333333333332,0.20833333333333334,0.14583333333333334,0.16666666666666666,0.25,0.14583333333333334,0.041666666666666664
vacancy_11_training.dump,53,1.020412177642406,6.801959682134437,4.68941563164356,1.0759106207695912,-0.4435906852426096,1.0900379967710716,4.000126026170688,4.640992790707779,5.276908151861381,1.2767821256906933,0.018867924528301886,0.0,0.0,0.05660377358490566,0.16981132075471697,0.18867924528301888,0.18867924528301888,0.22641509433962265,0.05660377358490566,0.09433962264150944
vacancy_12_training.dump,54,0.9440323664695697,6.740184212093776,4.729950333754386,1.0400869258917864,-0.5688999449195556,1.7214975033646844,4.045275534345327,4.709487750728197,5.24056766928129,1.195292134935963,0.018518518518518517,0.0,0.0,0.037037037037037035,0.12962962962962962,0.16666666666666666,0.24074074074074073,0.24074074074074073,0.05555555555555555,0.1111111111111111
vacancy_13_training.dump,57,0.6583998449605547,6.712658602501264,4.800297191945243,1.0438265178995993,-0.9240229496707826,2.7459706897937997,4.3620843646761,4.828951223972491,5.362277857555027,1.0001934928789264,0.017543859649122806,0.0,0.0,0.05263157894736842,0.03508771929824561,0.12280701754385964,0.2982456140350877,0.22807017543859648,0.08771929824561403,0.15789473684210525
vacancy_14_training.dump,57,3.01310990548908,6.639740762391195,4.923661304220761,0.8488706712156452,0.04826831000320749,-0.3504721662592294,4.414122999596249,4.879675196590006,5.404694780711289,0.9905717811150394,0.05263157894736842,0.03508771929824561,0.03508771929824561,0.17543859649122806,0.17543859649122806,0.21052631578947367,0.07017543859649122,0.08771929824561403,0.07017543859649122,0.08771929824561403
