archivo,mejor_radio,surface_area,filled_volume,cluster_size,mean_distance,fingerprint
outputs/dump/key_area_1.dump,,217.37776051963576,244.43080712847916,41,4.102171080874532,7
outputs/dump/key_area_2.dump,,177.72456700298824,186.23299590862263,34,3.727991386972665,5
outputs/dump/key_area_3.dump,,152.56441665454463,139.6747469318406,28,3.6077707704916486,3
outputs/dump/key_area_4.dump,,103.76923198569894,81.47693571069333,20,3.1273790002334243,2
outputs/dump/key_area_5.dump,,69.1794879906679,46.55824897780111,14,2.636730133369312,1
