i,j,real,prediccion,error
1,2,9,9.0,0.0
i,j,real,prediccion,error
1,3,1,1,0
1,3,2,2,0
1,3,3,3.0,0.0
1,3,4,4.0,0.0
1,3,5,5.0,0.0
1,3,6,6.0,0.0
1,3,7,7.0,0.0
1,3,8,8.0,0.0
1,3,9,9.0,0.0
i,j,real,prediccion,error
1,4,1,1,0
1,4,2,2,0
1,4,3,3.0,0.0
1,4,4,4.0,0.0
1,4,5,6.0,1.0
1,4,6,6.0,0.0
1,4,7,7.0,0.0
1,4,8,8.0,0.0
1,4,9,9.0,0.0
i,j,real,prediccion,error
1,5,1,1,0
1,5,2,2,0
1,5,3,3.0,0.0
1,5,4,4.0,0.0
1,5,5,6.0,1.0
1,5,6,6.0,0.0
1,5,7,7.0,0.0
1,5,8,8.0,0.0
1,5,9,9.0,0.0
i,j,real,prediccion,error
1,6,1,1,0
1,6,2,2,0
1,6,3,3.0,0.0
1,6,4,4.0,0.0
1,6,5,6.0,1.0
1,6,6,6.0,0.0
1,6,7,7.0,0.0
1,6,8,8.0,0.0
1,6,9,10.0,1.0
i,j,real,prediccion,error
1,7,1,1,0
1,7,2,2,0
1,7,3,3.0,0.0
1,7,4,5.0,1.0
1,7,5,6.0,1.0
1,7,6,6.0,0.0
1,7,7,7.0,0.0
1,7,8,8.0,0.0
1,7,9,10.0,1.0
i,j,real,prediccion,error
1,8,1,1,0
1,8,2,2,0
1,8,3,3.0,0.0
1,8,4,5.0,1.0
1,8,5,6.0,1.0
1,8,6,6.0,0.0
1,8,7,7.0,0.0
1,8,8,8.0,0.0
1,8,9,10.0,1.0
i,j,real,prediccion,error
1,9,1,1,0
1,9,2,2,0
1,9,3,3.0,0.0
1,9,4,5.0,1.0
1,9,5,6.0,1.0
1,9,6,7.0,1.0
1,9,7,8.0,1.0
1,9,8,8.0,0.0
1,9,9,10.0,1.0
i,j,real,prediccion,error
2,0,1,1,0
2,0,2,2,0
2,0,3,3.0,0.0
2,0,4,5.0,1.0
2,0,5,7.0,2.0
2,0,6,7.0,1.0
2,0,7,8.0,1.0
2,0,8,8.0,0.0
2,0,9,10.0,1.0
i,j,real,prediccion,error
2,1,1,1,0
2,1,2,1,1
2,1,3,2,1
2,1,4,4.0,0.0
2,1,5,5.0,0.0
2,1,6,6.0,0.0
2,1,7,7.0,0.0
2,1,8,7.0,1.0
2,1,9,7.0,2.0
i,j,real,prediccion,error
2,2,1,1,0
2,2,2,2,0
2,2,3,3.0,0.0
2,2,4,4.0,0.0
2,2,5,5.0,0.0
2,2,6,6.0,0.0
2,2,7,7.0,0.0
2,2,8,7.0,1.0
2,2,9,7.0,2.0
i,j,real,prediccion,error
2,3,1,1,0
2,3,2,2,0
2,3,3,3.0,0.0
2,3,4,4.0,0.0
2,3,5,5.0,0.0
2,3,6,6.0,0.0
2,3,7,7.0,0.0
2,3,8,8.0,0.0
2,3,9,9.0,0.0
i,j,real,prediccion,error
2,4,1,1,0
2,4,2,2,0
2,4,3,3.0,0.0
2,4,4,4.0,0.0
2,4,5,6.0,1.0
2,4,6,6.0,0.0
2,4,7,7.0,0.0
2,4,8,8.0,0.0
2,4,9,9.0,0.0
i,j,real,prediccion,error
2,5,1,1,0
2,5,2,2,0
2,5,3,3.0,0.0
2,5,4,4.0,0.0
2,5,5,6.0,1.0
2,5,6,6.0,0.0
2,5,7,7.0,0.0
2,5,8,8.0,0.0
2,5,9,9.0,0.0
i,j,real,prediccion,error
2,6,1,1,0
2,6,2,2,0
2,6,3,3.0,0.0
2,6,4,4.0,0.0
2,6,5,6.0,1.0
2,6,6,6.0,0.0
2,6,7,7.0,0.0
2,6,8,8.0,0.0
2,6,9,9.0,0.0
i,j,real,prediccion,error
2,7,1,1,0
2,7,2,2,0
2,7,3,3.0,0.0
2,7,4,4.0,0.0
2,7,5,6.0,1.0
2,7,6,6.0,0.0
2,7,7,7.0,0.0
2,7,8,8.0,0.0
2,7,9,9.0,0.0
i,j,real,prediccion,error
2,8,1,1,0
2,8,2,2,0
2,8,3,3.0,0.0
2,8,4,4.0,0.0
2,8,5,6.0,1.0
2,8,6,6.0,0.0
2,8,7,7.0,0.0
2,8,8,8.0,0.0
2,8,9,10.0,1.0
i,j,real,prediccion,error
2,9,1,1,0
2,9,2,2,0
2,9,3,3.0,0.0
2,9,4,5.0,1.0
2,9,5,6.0,1.0
2,9,6,6.0,0.0
2,9,7,7.0,0.0
2,9,8,8.0,0.0
2,9,9,10.0,1.0
i,j,real,prediccion,error
3,0,1,1,0
3,0,2,2,0
3,0,3,3.0,0.0
3,0,4,5.0,1.0
3,0,5,6.0,1.0
3,0,6,6.0,0.0
3,0,7,7.0,0.0
3,0,8,8.0,0.0
3,0,9,10.0,1.0
i,j,real,prediccion,error
3,1,1,1,0
3,1,2,1,1
3,1,3,2,1
3,1,4,4.0,0.0
3,1,5,5.0,0.0
3,1,6,5.0,1.0
3,1,7,6.0,1.0
3,1,8,7.0,1.0
3,1,9,7.0,2.0
i,j,real,prediccion,error
3,2,1,1,0
3,2,2,2,0
3,2,3,2,1
3,2,4,4.0,0.0
3,2,5,5.0,0.0
3,2,6,5.0,1.0
3,2,7,7.0,0.0
3,2,8,7.0,1.0
3,2,9,7.0,2.0
i,j,real,prediccion,error
3,3,1,1,0
3,3,2,2,0
3,3,3,3.0,0.0
3,3,4,4.0,0.0
3,3,5,5.0,0.0
3,3,6,6.0,0.0
3,3,7,7.0,0.0
3,3,8,8.0,0.0
3,3,9,9.0,0.0
i,j,real,prediccion,error
3,4,1,1,0
3,4,2,2,0
3,4,3,3.0,0.0
3,4,4,4.0,0.0
3,4,5,5.0,0.0
3,4,6,6.0,0.0
3,4,7,7.0,0.0
3,4,8,8.0,0.0
3,4,9,9.0,0.0
i,j,real,prediccion,error
3,5,1,1,0
3,5,2,2,0
3,5,3,3.0,0.0
3,5,4,4.0,0.0
3,5,5,6.0,1.0
3,5,6,6.0,0.0
3,5,7,7.0,0.0
3,5,8,8.0,0.0
3,5,9,9.0,0.0
i,j,real,prediccion,error
3,6,1,1,0
3,6,2,2,0
3,6,3,3.0,0.0
3,6,4,4.0,0.0
3,6,5,6.0,1.0
3,6,6,6.0,0.0
3,6,7,7.0,0.0
3,6,8,8.0,0.0
3,6,9,9.0,0.0
i,j,real,prediccion,error
3,7,1,1,0
3,7,2,2,0
3,7,3,3.0,0.0
3,7,4,4.0,0.0
3,7,5,6.0,1.0
3,7,6,6.0,0.0
3,7,7,7.0,0.0
3,7,8,8.0,0.0
3,7,9,9.0,0.0
i,j,real,prediccion,error
3,8,1,1,0
3,8,2,2,0
3,8,3,3.0,0.0
3,8,4,4.0,0.0
3,8,5,6.0,1.0
3,8,6,6.0,0.0
3,8,7,7.0,0.0
3,8,8,8.0,0.0
3,8,9,9.0,0.0
i,j,real,prediccion,error
3,9,1,1,0
3,9,2,2,0
3,9,3,3.0,0.0
3,9,4,4.0,0.0
3,9,5,6.0,1.0
3,9,6,6.0,0.0
3,9,7,7.0,0.0
3,9,8,8.0,0.0
3,9,9,9.0,0.0
i,j,real,prediccion,error
4,0,1,1,0
4,0,2,2,0
4,0,3,3.0,0.0
4,0,4,4.0,0.0
4,0,5,6.0,1.0
4,0,6,6.0,0.0
4,0,7,7.0,0.0
4,0,8,8.0,0.0
4,0,9,10.0,1.0
i,j,real,prediccion,error
4,1,1,1,0
4,1,2,1,1
4,1,3,2,1
4,1,4,4.0,0.0
4,1,5,5.0,0.0
4,1,6,5.0,1.0
4,1,7,6.0,1.0
4,1,8,7.0,1.0
4,1,9,7.0,2.0
i,j,real,prediccion,error
4,2,1,1,0
4,2,2,1,1
4,2,3,2,1
4,2,4,4.0,0.0
4,2,5,5.0,0.0
4,2,6,5.0,1.0
4,2,7,7.0,0.0
4,2,8,7.0,1.0
4,2,9,7.0,2.0
i,j,real,prediccion,error
4,3,1,1,0
4,3,2,2,0
4,3,3,3.0,0.0
4,3,4,4.0,0.0
4,3,5,5.0,0.0
4,3,6,6.0,0.0
4,3,7,7.0,0.0
4,3,8,8.0,0.0
4,3,9,9.0,0.0
i,j,real,prediccion,error
4,4,1,1,0
4,4,2,2,0
4,4,3,3.0,0.0
4,4,4,4.0,0.0
4,4,5,5.0,0.0
4,4,6,6.0,0.0
4,4,7,7.0,0.0
4,4,8,8.0,0.0
4,4,9,9.0,0.0
i,j,real,prediccion,error
4,5,1,1,0
4,5,2,2,0
4,5,3,3.0,0.0
4,5,4,4.0,0.0
4,5,5,5.0,0.0
4,5,6,6.0,0.0
4,5,7,7.0,0.0
4,5,8,8.0,0.0
4,5,9,9.0,0.0
i,j,real,prediccion,error
4,6,1,1,0
4,6,2,2,0
4,6,3,3.0,0.0
4,6,4,4.0,0.0
4,6,5,6.0,1.0
4,6,6,6.0,0.0
4,6,7,7.0,0.0
4,6,8,8.0,0.0
4,6,9,9.0,0.0
i,j,real,prediccion,error
4,7,1,1,0
4,7,2,2,0
4,7,3,3.0,0.0
4,7,4,4.0,0.0
4,7,5,6.0,1.0
4,7,6,6.0,0.0
4,7,7,7.0,0.0
4,7,8,8.0,0.0
4,7,9,9.0,0.0
i,j,real,prediccion,error
4,8,1,1,0
4,8,2,2,0
4,8,3,3.0,0.0
4,8,4,4.0,0.0
4,8,5,6.0,1.0
4,8,6,6.0,0.0
4,8,7,7.0,0.0
4,8,8,8.0,0.0
4,8,9,9.0,0.0
i,j,real,prediccion,error
4,9,1,1,0
4,9,2,2,0
4,9,3,3.0,0.0
4,9,4,4.0,0.0
4,9,5,6.0,1.0
4,9,6,6.0,0.0
4,9,7,7.0,0.0
4,9,8,8.0,0.0
4,9,9,9.0,0.0
i,j,real,prediccion,error
5,0,1,1,0
5,0,2,2,0
5,0,3,3.0,0.0
5,0,4,4.0,0.0
5,0,5,6.0,1.0
5,0,6,6.0,0.0
5,0,7,7.0,0.0
5,0,8,8.0,0.0
5,0,9,9.0,0.0
